lat,lon,el_ft
43.99112862,-112.4182641,"4853.6	"
43.9910584,-112.4145904,"4861.0						"
43.99105769,-112.4145825,"4861.0						"
43.99105769,-112.4145766,"4861.0						"
43.9910577,-112.4145697,"4861.0						"
43.9910577,-112.4145657,"4861.0						"
43.99105699,-112.4145598,"4861.0						"
43.99105628,-112.4145549,"4861.1						"
43.99105558,-112.414546,"4861.1						"
43.99105558,-112.4145361,"4861.1						"
43.99105558,-112.4145302,"4861.1						"
43.99105558,-112.4145213,"4861.1						"
43.99105559,-112.4145105,"4861.1						"
43.99105558,-112.4144957,"4861.2						"
43.99105558,-112.4144849,"4861.2						"
43.99105558,-112.41448,"4861.2						"
43.99105558,-112.4144662,"4861.2						"
43.99105558,-112.4144563,"4861.2						"
43.99105558,-112.4144465,"4861.3						"
43.99105628,-112.4144415,"4861.3						"
43.99105628,-112.4144346,"4861.3						"
43.9910577,-112.4144248,"4861.3						"
43.9910577,-112.4144169,"4861.3						"
43.99105841,-112.4144051,"4861.3						"
43.99105841,-112.4144002,"4861.4						"
43.9910577,-112.4143883,"4861.4						"
43.9910577,-112.4143765,"4861.4						"
43.99105769,-112.4143667,"4861.4						"
43.99105769,-112.4143647,"4861.4						"
43.99105769,-112.4143607,"4861.4						"
43.99105769,-112.4143519,"4861.5						"
43.9910584,-112.414344,"4861.5						"
43.99105839,-112.414339,"4861.5						"
43.99105839,-112.4143321,"4861.5						"
43.99105839,-112.4143232,"4861.5						"
43.99105839,-112.4143143,"4861.5						"
43.9910591,-112.4143074,"4861.5						"
43.9910591,-112.4143045,"4861.6						"
43.9910591,-112.4142995,"4861.6						"
43.9910591,-112.4142907,"4861.6						"
43.9910591,-112.4142857,"4861.6						"
43.9910591,-112.4142838,"4861.6						"
43.99105909,-112.4142788,"4861.6						"
43.99105909,-112.4142709,"4861.6						"
43.99105909,-112.414264,"4861.6						"
43.99105909,-112.4142581,"4861.6						"
43.99105909,-112.4142492,"4861.6						"
43.99105909,-112.4142433,"4861.6						"
43.99105909,-112.4142354,"4861.7						"
43.99105909,-112.4142275,"4861.7						"
43.99105909,-112.4142246,"4861.7						"
43.99105909,-112.4142147,"4861.7						"
43.99105838,-112.4142078,"4861.7						"
43.99105838,-112.4142009,"4861.7						"
43.99105838,-112.414193,"4861.7						"
43.99105838,-112.4141861,"4861.7						"
43.99105838,-112.4141763,"4861.7						"
43.99105838,-112.4141723,"4861.8						"
43.99105838,-112.4141625,"4861.8						"
43.99105838,-112.4141595,"4861.8						"
43.99105838,-112.4141506,"4861.8						"
43.99105838,-112.4141437,"4861.8						"
43.99105838,-112.4141359,"4861.8						"
43.99105767,-112.414128,"4861.8						"
43.99105696,-112.414123,"4861.8						"
43.99105696,-112.4141132,"4861.8						"
43.99105767,-112.4141083,"4861.9						"
43.99105767,-112.4141004,"4861.9						"
43.99105767,-112.4140876,"4861.9						"
43.99105768,-112.4140797,"4861.9						"
43.99105768,-112.414065,"4861.9						"
43.99105768,-112.4140601,"4861.9						"
43.99105768,-112.4140532,"4861.9						"
43.99105768,-112.4140463,"4861.9						"
43.99105768,-112.4140404,"4862.0						"
43.99105768,-112.4140325,"4862.0						"
43.99105768,-112.4140256,"4862.0						"
43.99105697,-112.4140187,"4862.0						"
43.99105697,-112.4140079,"4862.0						"
43.99105697,-112.414001,"4862.0						"
43.99105626,-112.4139892,"4862.1						"
43.99105555,-112.4139695,"4862.1						"
43.99105484,-112.4139567,"4862.1						"
43.99105484,-112.4139508,"4862.2						"
43.99105414,-112.4139291,"4862.2						"
43.99105414,-112.4139143,"4862.2						"
43.99105413,-112.4138985,"4862.3						"
43.99105413,-112.4138936,"4862.3						"
43.99105413,-112.4138808,"4862.3						"
43.99105343,-112.413868,"4862.3						"
43.99105272,-112.4138532,"4862.4						"
43.99105272,-112.4138443,"4862.4						"
43.99105272,-112.4138325,"4862.4						"
43.99105201,-112.4138276,"4862.4						"
43.99105201,-112.4138168,"4862.5						"
43.9910513,-112.413808,"4862.5						"
43.9910513,-112.4137953,"4862.5						"
43.99105131,-112.4137855,"4862.5						"
43.9910506,-112.4137835,"4862.5						"
43.99104989,-112.4137796,"4862.6						"
43.99104989,-112.4137708,"4862.6						"
43.99104848,-112.4137541,"4862.6						"
43.99104848,-112.4137502,"4862.6						"
43.99104777,-112.4137335,"4862.6						"
43.99104777,-112.4137208,"4862.7						"
43.99104777,-112.41371,"4862.7						"
43.99104778,-112.4136992,"4862.7						"
43.99104778,-112.4136894,"4862.7						"
43.99104778,-112.4136865,"4862.7						"
43.99104849,-112.4136777,"4862.7						"
43.9910492,-112.4136719,"4862.7						"
43.99104921,-112.4136622,"4862.7						"
43.99104356,-112.4136432,"4862.7						"
43.99104215,-112.4136333,"4862.8						"
43.99104145,-112.4136293,"4862.8						"
43.99104146,-112.4136155,"4862.8						"
43.99104076,-112.4136026,"4862.8						"
